Day,Home,Away,Conference_Game
5,Florida Atlantic,LSU,0
5,Kentucky,Binghamton,0
6,Tulsa,UTSA,1
6,Canisius,Utah Tech,0
6,San Diego,San Francisco,1
6,Mercer,Little Rock,0
6,Mount St. Mary's,Stanford,0
6,Robert Morris,Northeastern,0
6,LSU,Morehead St.,0
6,Central Connecticut,Navy,0
6,San Jose St.,San Diego St.,1
6,Montana,Eastern Washington,1
6,Central Arkansas,North Florida,1
6,Grambling St.,Richmond,0
6,Pacific,Washington St.,1
6,Ball St.,Miami OH,1
6,Syracuse,Portland St.,0
6,Austin Peay,Nebraska Omaha,0
6,Coastal Carolina,James Madison,1
6,George Washington,St. Bonaventure,1
6,Colgate,Alabama St.,0
6,Furman,Jackson St.,0
6,UMass Lowell,Maine,1
6,Northwestern St.,La Salle,0
6,UMBC,Utah St.,0
6,Creighton,Louisville,0
6,Baylor,Northern Arizona,0
6,Missouri St.,Temple,0
6,Arkansas,Tennessee,1
6,Massachusetts,Davidson,1
6,Drake,North Dakota St.,0
6,Michigan,Iowa,1
6,Southern Miss,Georgia St.,1
6,Green Bay,Northern Kentucky,1
6,Louisiana Monroe,Arkansas St.,1
6,Duquesne,Rhode Island,1
6,Kansas St.,BYU,1
6,Arizona St.,UCF,1
6,St. John's,Connecticut,1
6,South Florida,Tulane,1
6,South Carolina,East Carolina,0
6,Santa Clara,Wagner,0
6,Liberty,Sam Houston St.,1
6,California,South Alabama,0
6,Cal Poly,Cal St. Fullerton,1
6,Seton Hall,Cal St. Northridge,0
6,Le Moyne,Chicago St.,1
6,Albany,Binghamton,1
6,FIU,Mississippi Valley St.,0
6,Cincinnati,Loyola Chicago,0
6,Towson,Campbell,1
6,Jacksonville,Rutgers,0
7,Cal St. Bakersfield,Baylor,0
7,Wofford,VMI,1
7,Holy Cross,Kentucky,0
7,Sam Houston St.,Georgia Tech,0
7,Georgia St.,Appalachian St.,1
7,Washington St.,Santa Clara,1
7,La Salle,Fordham,1
7,Longwood,North Texas,0
7,Brown,Marshall,0
7,Seton Hall,Georgetown,1
7,Loyola Marymount,San Diego,1
7,Maryland,Bethune Cookman,0
7,Davidson,Syracuse,0
7,Kent St.,Indiana St.,0
7,North Dakota St.,Eastern Illinois,0
7,South Dakota,Southern,0
7,Coastal Carolina,Arkansas St.,1
7,Air Force,South Florida,0
7,Sacred Heart,Manhattan,1
7,Kansas St.,Sacramento St.,0
7,Houston Christian,New Orleans,1
7,Louisville,Vanderbilt,0
7,Florida,LSU,1
7,Northwestern,SMU,0
7,Xavier,Florida Gulf Coast,0
7,Texas Southern,Virginia Tech,0
7,Hampton,North Alabama,0
7,New Hampshire,George Washington,0
7,Princeton,Virginia,0
7,Prairie View A&M,Alabama St.,1
7,Auburn,Eastern Washington,0
7,Towson,Delaware,1
7,Wake Forest,Iona,0
7,George Mason,Clemson,0
7,Oral Roberts,North Carolina Central,0
7,Providence,Jackson St.,0
7,Cleveland St.,Tulsa,0
7,Bucknell,Colgate,1
7,UT Arlington,Southern Utah,1
7,Nicholls St.,Duke,0
7,Western Kentucky,Saint Francis,0
7,Missouri,Mississippi St.,1
7,N.C. State,Lipscomb,0
7,UTEP,Michigan St.,0
7,Murray St.,Drake,1
7,Detroit Mercy,Oakland,1
7,Charlotte,Tarleton St.,0
7,UTSA,Robert Morris,0
7,Furman,Western Carolina,1
7,North Carolina A&T,Monmouth,1
8,North Carolina Central,New Mexico,0
8,St. Thomas,Mercer,0
8,Oklahoma,Florida,1
8,Jacksonville,Austin Peay,1
8,Nicholls St.,UT Rio Grande Valley,1
8,Lindenwood,Southeast Missouri St.,1
8,Ohio,Buffalo,1
8,Quinnipiac,Rider,1
8,American,San Diego,0
8,Troy,Old Dominion,1
8,Oklahoma St.,Marshall,0
8,Hofstra,Charleston,1
8,San Francisco,Portland,1
8,Cleveland St.,Lehigh,0
8,Jackson St.,Prairie View A&M,1
8,North Alabama,Oregon St.,0
8,Stonehill,IU Indy,0
8,Central Connecticut,Wagner,1
8,N.C. State,Clemson,1
8,Portland St.,Nevada,0
8,George Washington,Memphis,0
8,Iowa St.,Kansas St.,1
8,Lafayette,Bucknell,1
8,Kennesaw St.,New Mexico St.,1
8,SIU Edwardsville,Cal Poly,0
8,Boston College,SMU,1
8,Murray St.,Middle Tennessee,0
8,Southeastern Louisiana,McNeese St.,1
8,Texas A&M Corpus Chris,Incarnate Word,1
8,Illinois St.,Longwood,0
8,Maryland Eastern Shore,UNLV,0
8,Michigan,Washington,1
8,Texas Tech,Kansas,1
8,BYU,Saint Louis,0
8,Texas,Texas A&M,1
8,Louisiana Monroe,Akron,0
8,North Dakota St.,UMKC,1
8,Maryland,Northwestern,1
8,South Dakota,Oral Roberts,1
8,Cal Baptist,Stephen F. Austin,1
8,Georgia St.,Southern Miss,1
8,South Alabama,Georgia Southern,1
8,Iowa,Duke,0
8,Merrimack,Southern Indiana,0
8,Mississippi,Arkansas,1
8,Colorado,Bryant,0
8,Army,Navy,1
8,Texas Southern,Eastern Michigan,0
8,St. Bonaventure,Northern Iowa,0
8,Eastern Illinois,Morehead St.,1
9,William & Mary,Drexel,1
9,Wright St.,Milwaukee,1
9,Lafayette,American,1
9,N.C. State,Maine,0
9,Robert Morris,Wichita St.,0
9,Southern,Grambling St.,1
9,Fairleigh Dickinson,LIU,1
9,North Carolina A&T,Elon,1
9,Louisiana,Coastal Carolina,1
9,Alabama A&M,Kansas St.,0
9,Bethune Cookman,Texas Southern,1
9,Saint Louis,Rhode Island,1
9,Utah,TCU,1
9,Michigan,Southeast Missouri St.,0
9,Stonehill,Le Moyne,1
9,Monmouth,Morehead St.,0
9,Miami OH,Northern Colorado,0
9,Bellarmine,Central Michigan,0
9,South Dakota St.,North Dakota,1
9,Louisiana Tech,Liberty,1
9,Towson,Missouri,0
9,North Alabama,Mississippi Valley St.,0
9,East Texas A&M,UT Rio Grande Valley,1
9,Butler,Baylor,0
9,Southern Miss,Nebraska Omaha,0
9,Temple,East Carolina,1
9,Stephen F. Austin,Purdue Fort Wayne,0
9,Bowling Green,Northern Illinois,1
9,West Georgia,Fordham,0
9,UNLV,Northwestern,0
9,Green Bay,NJIT,0
9,Memphis,Rice,1
9,Norfolk St.,VMI,0
9,Auburn,Vanderbilt,1
9,Old Dominion,Georgia St.,1
9,McNeese St.,Detroit Mercy,0
9,Creighton,Georgetown,1
9,North Carolina,Eastern Washington,0
9,Northern Arizona,Idaho St.,1
9,Connecticut,St. John's,1
9,Villanova,Montana St.,0
9,Arizona,Houston,1
9,UNC Greensboro,Cal Poly,0
9,Northern Iowa,Drake,1
9,Dayton,Massachusetts,1
9,Alabama,Oklahoma,1
9,Western Kentucky,Iowa,0
9,Portland,Santa Clara,1
9,Wofford,Western Carolina,1
9,Central Connecticut,Pittsburgh,0
10,Florida St.,Virginia,1
10,Illinois,Northwestern,1
10,North Texas,UTSA,1
10,Ohio St.,Maryland,1
10,Nicholls St.,The Citadel,0
10,Northeastern,Towson,1
10,Charleston Southern,Quinnipiac,0
10,TCU,Iowa St.,1
10,Florida Gulf Coast,Bellarmine,1
10,Central Michigan,Kent St.,1
10,Colorado,Arizona,1
10,Chattanooga,Penn St.,0
10,Cal St. Bakersfield,St. John's,0
10,Missouri St.,Kentucky,0
10,South Alabama,Troy,1
10,Boston College,Marquette,0
10,Louisville,SMU,1
10,Yale,Penn,1
10,West Georgia,Xavier,0
10,Louisiana Tech,St. Bonaventure,0
10,Binghamton,NJIT,1
10,George Washington,IU Indy,0
10,Lindenwood,Western Carolina,0
10,Auburn,Morehead St.,0
10,LSU,Oklahoma,1
10,Toledo,Marshall,0
10,Portland St.,Northern Arizona,1
10,Grand Canyon,Houston,0
10,Temple,South Carolina St.,0
10,Saint Peter's,Rider,1
10,UMass Lowell,Stony Brook,0
10,Winthrop,Evansville,0
10,South Carolina,UC Irvine,0
10,Samford,Wofford,1
10,Southern Illinois,Indiana St.,1
10,Louisiana,Louisiana Monroe,1
10,Chicago St.,Vermont,0
10,Missouri,Holy Cross,0
10,Saint Mary's,Kennesaw St.,0
10,Weber St.,Northern Colorado,1
10,Washington,Wisconsin,1
10,UMBC,UCF,0
10,East Carolina,Rice,1
10,DePaul,Eastern Illinois,0
10,Wright St.,New Mexico St.,0
10,New Mexico,UNLV,1
10,Prairie View A&M,High Point,0
10,Florida Atlantic,Nevada,0
10,Arkansas,La Salle,0
11,Southern Utah,Seattle,1
11,Washington,North Carolina A&T,0
11,Incarnate Word,Drexel,0
11,Eastern Illinois,BYU,0
11,North Florida,Lipscomb,1
11,Purdue Fort Wayne,Green Bay,1
11,Cal St. Fullerton,Illinois Chicago,0
11,South Florida,South Carolina St.,0
11,Maryland Eastern Shore,Morgan St.,1
11,Presbyterian,UNC Asheville,1
11,American,Virginia Tech,0
11,Texas,Arkansas,1
11,North Carolina,Boston College,1
11,Richmond,St. Bonaventure,1
11,Arizona St.,Texas Tech,1
11,New Hampshire,Loyola Marymount,0
11,Missouri,Alabama,1
11,Marist,Creighton,0
11,Georgetown,DePaul,1
11,Florida St.,Lehigh,0
11,Bradley,The Citadel,0
11,UCLA,Monmouth,0
11,Old Dominion,Oklahoma,0
11,Stephen F. Austin,N.C. State,0
11,Hofstra,UC Riverside,0
11,Fairleigh Dickinson,Quinnipiac,0
11,Idaho St.,Northern Arizona,1
11,Eastern Michigan,Miami OH,1
11,Wisconsin,Nebraska,1
11,Utah Tech,Lamar,0
11,Arizona,Kansas,1
11,Colgate,Coastal Carolina,0
11,Texas St.,Troy,1
11,Bowling Green,SIU Edwardsville,0
11,UMBC,UMass Lowell,1
11,Lindenwood,Boston University,0
11,Mississippi St.,Kentucky,1
11,VCU,La Salle,1
11,Weber St.,Jacksonville,0
11,Alabama A&M,Texas Southern,1
11,Hawaii,UC Santa Barbara,1
11,Queens,North Alabama,1
11,Oakland,Charleston Southern,0
11,Albany,Bryant,1
11,Louisville,Pittsburgh,1
12,Xavier,Georgia Tech,0
12,Oklahoma,Lipscomb,0
12,Bradley,Valparaiso,1
12,St. John's,Butler,1
12,Grambling St.,Kansas St.,0
12,Southeast Missouri St.,UNLV,0
12,Florida Gulf Coast,North Alabama,1
12,East Tennessee St.,Furman,1
12,Mississippi Valley St.,Prairie View A&M,1
12,Drexel,Howard,0
12,New Mexico,Lindenwood,0
12,Iona,Fairfield,1
12,New Mexico St.,Louisiana Tech,1
12,North Texas,Wichita St.,1
12,Northern Arizona,Northern Colorado,1
12,Marshall,Louisiana,1
12,Illinois,Michigan,1
12,Lehigh,George Mason,0
12,Ohio,Western Michigan,1
12,Cleveland St.,USC Upstate,0
12,Pittsburgh,SMU,1
12,Loyola MD,Boston University,1
12,Lamar,West Virginia,0
12,Samford,Northern Iowa,0
12,California,Hawaii,0
12,Cal St. Northridge,VCU,0
12,Harvard,Ohio St.,0
12,South Carolina St.,North Carolina Central,1
12,South Florida,Manhattan,0
12,Long Beach St.,UC Santa Barbara,1
12,Pacific,Pepperdine,1
12,Chicago St.,Youngstown St.,0
12,Wright St.,Eastern Illinois,0
12,Eastern Washington,Vanderbilt,0
12,Virginia,Florida St.,1
12,Tulane,UTSA,1
12,UC Irvine,Duquesne,0
12,UCF,Arizona St.,1
12,Arkansas,Mississippi,1
12,UNC Greensboro,Arizona,0
13,North Florida,Oregon,0
13,Delaware St.,Norfolk St.,1
13,North Texas,Charlotte,1
13,Boise St.,San Jose St.,1
13,Cal Poly,UC Santa Barbara,1
13,Florida,Alabama,1
13,Wichita St.,South Florida,1
13,San Diego St.,Temple,0
13,California,Princeton,0
13,West Virginia,Baylor,1
13,Weber St.,Howard,0
13,Marist,Siena,1
13,East Texas A&M,Nicholls St.,1
13,Penn St.,Yale,0
13,Western Michigan,Ball St.,1
13,Chicago St.,Central Connecticut,1
13,Portland St.,Idaho St.,1
13,Bucknell,UCLA,0
13,Notre Dame,Miami FL,1
13,Towson,Northeastern,1
13,UMKC,Indiana,0
13,Virginia,SMU,1
13,Chattanooga,Western Carolina,1
13,Santa Clara,San Francisco,1
13,Milwaukee,IU Indy,1
13,Cal St. Northridge,Houston,0
13,George Mason,Fordham,1
13,Bellarmine,Central Arkansas,1
13,Presbyterian,High Point,1
13,Canisius,Tennessee St.,0
13,Purdue,Southern Illinois,0
13,Loyola Marymount,East Carolina,0
13,LIU,Georgia Tech,0
13,Sacred Heart,DePaul,0
13,Wake Forest,Stanford,1
13,UNLV,Utah St.,1
13,Cal Baptist,Utah Valley,1
13,Creighton,Jackson St.,0
13,Youngstown St.,Robert Morris,1
13,Abilene Christian,Utah Tech,1
13,Lipscomb,Fresno St.,0
13,Wagner,Oklahoma St.,0
13,Longwood,Syracuse,0
13,Texas A&M Corpus Chris,New Orleans,1
13,Green Bay,Michigan,0
13,Boston College,UAB,0
13,New Mexico,Wyoming,1
13,Richmond,Saint Louis,1
14,Sam Houston St.,Louisiana Tech,1
14,Tennessee St.,Eastern Washington,0
14,Northern Iowa,Murray St.,1
14,Jackson St.,Arkansas Pine Bluff,1
14,Arizona St.,BYU,1
14,Robert Morris,Detroit Mercy,1
14,Fordham,Saint Joseph's,1
14,North Carolina,Syracuse,1
14,UC San Diego,Cal St. Fullerton,1
14,Presbyterian,Radford,1
14,Milwaukee,Northern Colorado,0
14,Notre Dame,Niagara,0
14,Pittsburgh,Mississippi Valley St.,0
14,Lehigh,Coppin St.,0
14,Arkansas St.,Loyola Marymount,0
14,Minnesota,Pepperdine,0
14,Pacific,Arkansas,0
14,Florida St.,California,1
14,Missouri St.,Bradley,1
14,George Washington,Loyola Chicago,1
14,NJIT,Evansville,0
14,Idaho St.,Portland St.,1
14,Ball St.,Mississippi St.,0
14,Fairfield,Hampton,0
14,Northwestern St.,Nicholls St.,1
14,Boston University,Bucknell,1
14,Texas A&M Corpus Chris,UT Rio Grande Valley,1
14,Southern,Sacramento St.,0
14,SMU,Virginia,1
14,Cal St. Bakersfield,UC Davis,1
14,Georgia,Florida,1
14,Samford,The Citadel,1
14,Clemson,Boston College,1
14,Jacksonville,Central Arkansas,1
14,Utah Valley,Cal Baptist,1
14,San Diego,Portland,1
14,Tulsa,Rice,1
14,Troy,Northeastern,0
14,Holy Cross,American,1
14,UC Santa Barbara,Saint Peter's,0
14,Saint Louis,VCU,1
14,N.C. State,Duke,1
14,Iowa St.,Baylor,1
14,San Jose St.,Rhode Island,0
14,Vanderbilt,Texas,1
14,Kentucky,Missouri,1
14,Loyola MD,Penn,0
14,Georgia Southern,Indiana,0
14,Maine,UMass Lowell,1
14,Miami OH,Cleveland St.,0
15,Missouri,Vanderbilt,1
15,Ohio,Nebraska Omaha,0
15,Portland,Tennessee St.,0
15,Northern Iowa,East Carolina,0
15,Texas Southern,Sam Houston St.,0
15,Penn,Florida St.,0
15,Drexel,Campbell,1
15,Minnesota,Rutgers,1
15,South Carolina,Mississippi St.,1
15,Auburn,Tennessee Martin,0
15,Duke,Notre Dame,1
15,Fresno St.,Saint Mary's,0
15,IU Indy,Illinois,0
15,SIU Edwardsville,Mississippi Valley St.,0
15,BYU,Colorado,1
15,South Dakota,UMKC,1
15,TCU,Oklahoma St.,1
15,Western Carolina,Appalachian St.,0
15,Quinnipiac,Wagner,0
15,Air Force,Lafayette,0
15,Delaware St.,Utah,0
15,Coppin St.,Iowa St.,0
15,Stephen F. Austin,Cal St. Fullerton,0
15,LSU,Saint Peter's,0
15,New Orleans,Saint Louis,0
15,Mount St. Mary's,Mercyhurst,0
15,Arkansas Pine Bluff,Gardner Webb,0
15,Southeast Missouri St.,Bowling Green,0
15,Richmond,George Washington,1
15,Lipscomb,Bellarmine,1
15,Elon,North Dakota,0
15,Gonzaga,Weber St.,0
15,Pacific,North Alabama,0
15,Miami FL,Louisville,1
15,Stonehill,Dayton,0
15,Bryant,Binghamton,1
15,Cal Baptist,UT Arlington,1
15,Ball St.,Arkansas,0
15,Southern Utah,Texas St.,0
15,Houston Christian,Cal St. Bakersfield,0
15,Prairie View A&M,Montana,0
15,South Carolina St.,Seton Hall,0
15,Purdue,Penn St.,1
15,Columbia,Radford,0
15,Morehead St.,Western Michigan,0
15,St. Bonaventure,Saint Joseph's,1
15,Siena,Niagara,1
15,Drake,UC San Diego,0
15,Marquette,Connecticut,1
15,James Madison,Wichita St.,0
16,Rider,Fairfield,1
16,Robert Morris,Milwaukee,1
16,Presbyterian,Louisville,0
16,Washington St.,Saint Mary's,1
16,Tulsa,Bradley,0
16,UC Santa Barbara,Tarleton St.,0
16,Purdue Fort Wayne,Lehigh,0
16,Loyola MD,Michigan St.,0
16,Saint Francis,UC Davis,0
16,Princeton,Iona,0
16,Charlotte,East Carolina,1
16,McNeese St.,Colorado,0
16,Duke,Texas St.,0
16,San Jose St.,Boise St.,1
16,Jacksonville,Florida Gulf Coast,1
16,Eastern Michigan,Albany,0
16,La Salle,Saint Joseph's,1
16,Kentucky,LSU,1
16,Arizona,Kansas St.,1
16,West Virginia,Oklahoma St.,1
16,Army,SIU Edwardsville,0
16,UC Irvine,Cal St. Fullerton,1
16,William & Mary,Portland St.,0
16,Incarnate Word,Mississippi,0
16,Tennessee,Texas A&M,1
16,Northwestern St.,Grambling St.,0
16,Mississippi Valley St.,Alcorn St.,1
16,Navy,Hawaii,0
16,Xavier,Stephen F. Austin,0
16,Southern Illinois,Illinois,0
16,Temple,Green Bay,0
16,USC Upstate,Northeastern,0
16,Tennessee St.,Morehead St.,1
16,Georgia St.,James Madison,1
16,UNLV,Colorado St.,1
16,Arkansas,Missouri,1
16,Minnesota,North Texas,0
16,Buffalo,Ball St.,1
16,Harvard,Brown,1
16,Winthrop,High Point,1
16,Morgan St.,South Carolina St.,1
16,Oklahoma,Ohio St.,0
16,UMKC,St. Thomas,1
16,Nebraska,Penn St.,1
16,Arkansas St.,Georgia Southern,1
16,Hofstra,Drexel,1
16,Southern Utah,Illinois Chicago,0
16,Montana,The Citadel,0
16,Wofford,UAB,0
16,Portland,Georgia Tech,0
17,Northeastern,North Carolina A&T,1
17,Toledo,Georgia Southern,0
17,Alabama,Mississippi,1
17,Army,Cleveland St.,0
17,Jackson St.,Bryant,0
17,Illinois Chicago,Belmont,1
17,Purdue,Illinois,1
17,Georgia,Mississippi St.,1
17,Southern Miss,South Alabama,1
17,Colorado St.,Air Force,1
17,Lafayette,Colgate,1
17,Queens,Eastern Kentucky,1
17,Alabama A&M,Portland St.,0
17,Maryland Eastern Shore,Norfolk St.,1
17,Montana,Idaho St.,1
17,Prairie View A&M,Coastal Carolina,0
17,Florida Gulf Coast,Wofford,0
17,Cal St. Northridge,Stonehill,0
17,Purdue Fort Wayne,Wright St.,1
17,Providence,DePaul,1
17,Montana St.,Sacramento St.,1
17,Duquesne,Maine,0
17,Wisconsin,Missouri,0
17,Vanderbilt,UCLA,0
17,Charlotte,North Carolina,0
17,Central Connecticut,Virginia,0
17,Cal Baptist,Southern Utah,1
17,Central Michigan,Western Michigan,1
17,Sacred Heart,Marist,1
17,Little Rock,Eastern Illinois,1
17,UC Santa Barbara,Michigan,0
17,Oregon St.,Santa Clara,1
17,Cornell,Minnesota,0
17,TCU,Arizona St.,1
17,Wake Forest,Boston College,1
17,Miami OH,Bowling Green,1
17,BYU,Baylor,1
17,Lamar,New Orleans,1
17,Mercyhurst,East Tennessee St.,0
17,Nevada,Utah St.,1
17,Winthrop,Gardner Webb,1
17,Rhode Island,Loyola Chicago,1
17,Tulsa,South Florida,1
17,Clemson,Pepperdine,0
17,Campbell,Illinois St.,0
17,Utah Valley,Tarleton St.,1
17,Oral Roberts,Virginia Tech,0
17,Ohio St.,Penn St.,1
17,Saint Peter's,Mount St. Mary's,1
17,LSU,Arkansas,1
18,Stony Brook,Hofstra,1
18,Texas St.,UC Irvine,0
18,Houston,North Carolina A&T,0
18,Evansville,Illinois,0
18,Rutgers,Coppin St.,0
18,Lamar,Houston Christian,1
18,Fairleigh Dickinson,William & Mary,0
18,UT Rio Grande Valley,George Washington,0
18,Holy Cross,Florida Atlantic,0
18,Lafayette,Jackson St.,0
18,Grambling St.,Texas Southern,1
18,Green Bay,Rice,0
18,Sam Houston St.,New Hampshire,0
18,Alabama St.,Stanford,0
18,Cornell,Yale,1
